Game, Year, Platform, Complexity, Scope
Age of Empires II: The Age of Kings,1999, Windows,5,5
Aldo's Adventure,1987, DOS,1.5,1.5
Animal Crossing,2001, Nintendo 64,3.5,4.5
Asteroids,1979, Arcade,1.5,1
Bejeweled,2000, Web Browser,1.5,1
Blockade,1976, Arcade,1,0.5
Breakout,1976, Arcade,0.5,0.5
Breath of Fire II,1994, SNES,3,4
Bubble Bobble,1986, Arcade,2,2
Castlevania,1986, Famicom Disk System,2.5,2.5
Castlevania II: Simon's Quest,1987, Famicom Disk System,2.5,3
Chip 'n Dale: Rescue Rangers,1990, NES,2,2.5
Chrono Trigger,1995, SNES,3.5,5
Command & Conquer,1995, DOS,5,5
Contra,1987, Arcade,2.5,2.5
Conway's Game of Life,1970, Mainframe,2,1.5
Crash Bandicoot,1996, PlayStation,3.5,3.5
Day of the Tentacle,1993, DOS,4,4
Diablo,1996, Windows,3.5,5
Dig Dug,1982, Arcade,2.5,2
Donkey Kong,1981, Arcade,2,1.5
Donkey Kong Country,1994, SNES,2.5,3.5
Doom,1993, DOS,3.5,3.5
Doom II: Hell on Earth,1994, DOS,3.5,4
Double Dragon,1987, Arcade,3.5,4.5
Dr. Mario,1990, NES,1.5,1
DuckTales,1989, NES,2,2.5
Dune II: The Building of a Dynasty,1992, DOS,5,5
EarthBound,1994, SNES,3,4.5
EverQuest,1999, Windows,5,5
Final Fantasy,1987, NES,3,3.5
Final Fantasy Crystal Chronicles,2003, GameCube,3.5,3.5
Final Fantasy VIII,1999, PlayStation,4,5
Frogger,1981, Arcade,1.5,2
Gorillas.bas,1990, MS-DOS,1,0.5
Harvest Moon,1996, SNES,3,3.5
Indy 500,1977, Atari 2600,2,1
Kirby's Adventure,1993, NES,2.5,3.5
Kirby's Dream Land,1992, Game Boy,2,2
Kirby's Pinball Land,1993, Game Boy,2,2
Lemmings,1991, Amiga,3,3
Luigi's Mansion,2001, GameCube,3.5,3
Lunar Lander,1979, Arcade,2,1
Maniac Mansion,1987, Commodore 64,3.5,3.5
Marble Madness,1984, Arcade,3,2
Mario Bros.,1983, Arcade,2.5,3
Maze War,1974, Imlac PDS-1,2,1
Mega Man,1987, NES,2.5,2.5
Mega Man 2,1988, NES,2.5,3
Mega Man 3,1990, NES,2.5,3
Mega Man X,1993, SNES,2.5,3
Metroid,1986, Famicom Disk System,2.5,3
Metroid II: Return of Samus,1991, Game Boy,2.5,2.5
Metroid Prime,2002, GameCube,4.5,4.5
Minesweeper,1990, Windows,1.5,1
Missile Command,1980, Arcade,1.5,1.5
Moon Patrol,1982, Arcade,1.5,2
Number Munchers,1986, Apple II,1,1
Pac-Man,1980, Arcade,2,1.5
Pikmin,2001, GameCube,4,3.5
Pitfall!,1982, Atari 2600,2.5,3
Pokémon Red and Green,1996, Game Boy,3.5,3
Pong,1972, Arcade,0.5,0.5
Prince of Persia,1989, Apple II,3.5,3.5
Quake,1996, DOS,4,3
Rampage,1986, Arcade,2.5,3
River Raid,1982, Atari 2600,2,2
Rogue,1980, Unix,2.5,1
Secret of Mana,1993, SNES,3.5,4
SimCity,1989, Amiga,5,3.5
SimCity 2000,1993, Macintosh,5,4
SimCity 3000,1999, Windows,5,4.5
Snail Maze,1986, Sega Master System,1,1
Sonic the Hedgehog,1991, Sega Genesis,2.5,3
Space Invaders,1978, Arcade,1.5,2
Spacewar!,1962, PDP-1,1.5,1
Star Fox,1993, SNES,3.5,4
StarCraft,1998, Windows,5,5
StarGoose!,1988, Amiga,2,2
StarTropics,1990, NES,2.5,3
Super Mario 64,1996, Nintendo 64,4.5,4
Super Mario Bros.,1985, NES,2,2
Super Mario Bros. 2,1988, NES,2,2.5
Super Mario Bros. 3,1988, NES,2.5,3.5
Super Mario Kart,1992, SNES,3.5,3.5
Super Mario Land 2: 6 Golden Coins,1992, Game Boy,2,2.5
Super Mario World,1990, SNES,2.5,3.5
Super Metroid,1994, SNES,3,3.5
Super Monkey Ball,2001, GameCube,3.5,3
Super Smash Bros.,1999, Nintendo 64,3.5,3
Super Solvers: Midnight Rescue!,1989, DOS,1.5,2
Super Solvers: OutNumbered!,1990, DOS,1.5,2
Teenage Mutant Ninja Turtles,1989, NES,2.5,3
Tetris,1984, Elektronika 60,2,1
The Goonies II,1987, NES,2.5,2.5
The Guardian Legend,1988, NES,2.5,3
The Legend of Zelda,1986, Famicom Disk System,2,3
The Legend of Zelda: A Link to the Past,1991, SNES,3,4
The Legend of Zelda: Link's Awakening,1993, Game Boy,2.5,3.5
The Legend of Zelda: Ocarina of Time,1998, Nintendo 64,4.5,4.5
The Legend of Zelda: Oracle of Ages,2001, Game Boy Color,2.5,3.5
The Legend of Zelda: Oracle of Seasons,2001, Game Boy Color,2.5,3.5
The Legend of Zelda: The Wind Waker,2002, GameCube,4.5,4.5
The Secret of Monkey Island,1990, DOS,4,4
The Sims,2000, Windows,5,5
Tic-Tac-Toe,1950, Custom Hardware,2,1.5
Warcraft II: Tides of Darkness,1995, DOS,5,5
Warcraft: Orcs & Humans,1994, DOS,4.5,4
Worms,1995, Amiga,3,3
Zaxxon,1981, Arcade,3,3
Zelda II: The Adventure of Link,1987, Famicom Disk System,2.5,3
Zork,1980, PDP-10,2,1
